t,u1_r11,u1_r12,u1_p11,u1_p12,du1_LMI1,du1_LMI2,du1_Luen1,du1_Luen2
1,-0.179226965460156,0.439521053266193,-1,-1,0.820773034539844,1.43952105326619,0.820773034539844,1.43952105326619
2,2.95071645417163,0.363768654332623,-1,-1,3.95071645417163,1.36376865433262,3.95071645417163,1.36376865433262
3,2.08329375165307,-1.87755131976864,-1,-1,3.08329375165307,-0.877551319768641,3.08329375165307,-0.877551319768641
4,-1.76076438338996,-1.68697659942311,-1,-1,-0.760764383389964,-0.686976599423107,-0.760764383389964,-0.686976599423107
5,0.912588022353749,-0.241210972236542,-1,-1,1.91258802235375,0.758789027763458,1.91258802235375,0.758789027763458
6,1.19689920690973,-0.520773314368945,1.2002916225105,0.404151946626773,-0.00339241560076875,-0.924925260995717,-0.317151869058337,-3.11702824042626
7,-1.40147800681643,-2.05728932622161,-2.18422388705325,-6.53840301716684,0.782745880236819,4.48111369094523,-0.0129589315672574,3.884463947238
8,-2.93772311667428,-4.06169140631596,-3.91133574479387,-2.76040697272918,0.97361262811959,-1.30128443358678,0.548532428303036,-3.19947262144105
9,-2.02967535562872,-0.694249901501117,-1.83824254489343,-3.12958190875506,-0.191432810735287,2.43533200725394,-0.562190211931561,2.20364067672119
10,0.941378960468231,3.93793109259827,0.362076160772917,4.3487886408398,0.579302799695314,-0.410857548241534,0.530670841282197,-0.910766537483247
11,3.34490134497668,3.63233887025122,3.68775536706529,4.21287354879269,-0.342854022088614,-0.580534678541473,-0.28851760076596,-0.0772130621004514
12,1.65461251514053,-1.94541086708717,1.71378405768145,-2.54077194118215,-0.0591715425409229,0.595361074094974,0.0287631036392189,0.514555993909986
13,-2.33931564761999,-2.59828197641738,-2.43117903663639,-1.67477262689089,0.0918633890164071,-0.923509349526486,0.134849315579674,-0.496956493605491
14,-0.49070904264309,0.626483725604347,-0.262604692692462,0.213804468635995,-0.228104349950628,0.412679256968352,-0.204183837634372,0.158962606683516
15,0.0844958153330688,-1.49048369940592,-0.122188066476981,-1.55748422497329,0.20668388181005,0.0670005255673713,0.166273051960352,0.251127941379324
16,2.60508445426435,1.97985670068058,2.67988778335644,2.29265552932813,-0.0748033290920884,-0.31279882864755,-0.0714207660071247,-0.540955713028529
17,2.76066980764134,-2.11368546034727,2.75269498588957,-2.65226127990549,0.00797482175177633,0.53857581955822,-0.0261131867183848,0.630120569417687
18,-0.361044681431078,-1.40634283240794,-0.442992033927075,-0.967185668926348,0.0819473524959969,-0.439157163481594,0.0925311534454239,-0.527458153669089
19,-1.03150948908723,-0.0891928206459173,-0.925370602583203,-0.341991043953966,-0.106138886504029,0.252798223308049,-0.11039100127327,0.314601348663005
20,0.740429619739089,-1.3366711682324,0.659383765549299,-1.27682772304719,0.0810458541897895,-0.059843445185207,0.0868222883573587,-0.0909798630326901
21,-1.29252033234661,-2.17087450132655,-1.24669962149562,-2.05644208998475,-0.0458207108509847,-0.114432411341801,-0.0418879651389197,-0.0681740908175179
22,0.42878037401715,3.56802473928214,0.431645629310128,3.39907100785665,-0.00286525529297793,0.168953731425487,-0.00296776862009857,0.130160412081617
23,4.45324883449047,1.51923647169908,4.42029237981466,1.66500023202653,0.0329564546758139,-0.14576376032745,0.0319471848498187,-0.105790557579806
24,1.21628666173947,-1.12617764291709,1.25743584424152,-1.19964537644821,-0.0411491825020434,0.0734677335311202,-0.0395993999119368,0.0328084494433041
25,-1.82334879116027,-3.22357553050145,-1.85734275472201,-3.23850637570105,0.0339939635617432,0.0149308451995998,0.0296446011302585,0.0453652797852282
26,-1.7587518588244,-1.37910876583655,-1.74415012075895,-1.30672273198103,-0.014601738065454,-0.0723860338555169,-0.0109257116187322,-0.0964944042744451
27,2.56010599840465,3.68097970773846,2.56410030330155,3.58871004508936,-0.003994304896902,0.0922696626491026,-0.00711836052630277,0.107868416113067
28,1.10169974527295,-4.61988515486751,1.08577785587664,-4.54343253223914,0.0159218893963073,-0.076452622628377,0.0180629915960087,-0.0851063142393311
29,-0.754978474257856,-1.48303438215828,-0.735656588954625,-1.52194644859275,-0.0193218853032314,0.0389120664344711,-0.0199133746364492,0.0447629776223928
30,0.472147353782311,-0.847614735836345,0.457559976796783,-0.846631398055784,0.0145873769855274,-0.000983337780561699,0.0145267430869486,-0.00519864947836346
31,-1.75595237284391,-2.32227380718296,-1.74966646221445,-2.29701267705709,-0.0062859106294586,-0.0252611301258696,-0.00584248603454496,-0.0205866118938367
32,-1.60072370700928,-1.23808526942979,-1.59895639057332,-1.27179364490759,-0.00176731643595418,0.0337083754777987,-0.00214028735045124,0.0281063392105785
33,-3.55448164427231,-4.06943230835742,-3.56134698324372,-4.04300363082439,0.00686533897141128,-0.0264286775330298,0.00681588061760596,-0.0205713282071542
34,-0.949321086383605,2.78288935993095,-0.941438985405508,2.77172202642393,-0.00788210097809772,0.011167333507013,-0.00750544686953769,0.00554685326910143
35,-0.238082332798003,-3.44396199607431,-0.243847050119917,-3.44840357681441,0.00576471732191364,0.00444158074009549,0.00514754666438369,0.00899540798187859
36,1.07942925915558,2.34388059649518,1.08157290043628,2.35836753329435,-0.00214364128069988,-0.0144869367991687,-0.00149597349613284,-0.0176350238281571
37,1.10027527376346,-3.03613935813353,1.10152959153005,-3.05297035884747,-0.00125431776658669,0.0168310007139398,-0.00174301613858452,0.0186956287759297
38,-1.1147536854276,-1.4531273101002,-1.11798858945987,-1.44026826967147,0.00323490403226434,-0.0128590404287279,0.00350766677955439,-0.0137542650929576
39,-2.33093475879152,-2.06404017616386,-2.32741689090493,-2.06972853227891,-0.00351786788658792,0.00568835611504603,-0.00357480767992513,0.00612757335377845
40,-2.34007000383414,-0.673599812843082,-2.34254629829683,-0.674816632886413,0.00247629446269038,0.00121682004333101,0.00239723873192776,0.000827169305115838
41,-0.468315521055198,0.336514043984399,-0.46745515111275,0.34200845765925,-0.000860369942448147,-0.00549441367485104,-0.000745819073781129,-0.00493397244806276
42,0.43787247359543,-0.86895556238569,0.438453604842057,-0.875376541966624,-0.000581131246626676,0.00642097958093335,-0.000659122561864733,0.00564283033546209
43,2.28951198262731,3.08257551951914,2.28812215790815,3.08722155921187,0.00138982471916194,-0.00464603969273458,0.00139186919447365,-0.00376210144802469
44,1.00085385619367,-1.27034562971766,1.00231155857369,-1.27196030969493,-0.00145770238001774,0.00161467997727138,-0.00138926046072307,0.00078024665949239
45,-4.03699674928476,-2.6546747972037,-4.03797239653341,-2.65587864100248,0.000975647248649736,0.0012038437987707,0.000868984117408544,0.00186126409091569
46,-1.24430903105279,3.64033901165474,-1.24403125276638,3.64318705598226,-0.000277778286404518,-0.00284804432752717,-0.000170693753483331,-0.00326896459366388
47,2.9648390419494,1.80580336610621,2.96516260686714,1.8027519123426,-0.000323564917732444,0.00305145376361216,-0.000400809526946766,0.00325779360116596
48,1.86005374764675,-2.01131575217488,1.85941462419417,-2.00916793465719,0.000639123452575552,-0.00214781751768367,0.000674685637063854,-0.00221155733256584
49,-1.84615285096891,-0.423437848539663,-1.84551533864865,-0.42420994879816,-0.000637512320257771,0.000772100258497055,-0.000636562055331247,0.000779951818821512
50,0.152878850668801,1.2923196345681,0.152468371391907,1.29186589195233,0.000410479276893805,0.000453742615765362,0.000388462632042119,0.0004321187715004
51,1.15324933190435,-3.30172044511044,1.1533530621016,-3.30058208175295,-0.00010373019724641,-0.00113836335748685,-7.85758987675855e-05,-0.00106934615235543
52,-2.66237503889979,-2.07219593757919,-2.66222504773106,-2.07339323941091,-0.00014999116873371,0.00119730183171907,-0.000165255670615316,0.00108208756074468
53,0.923692512866473,3.76660816702463,0.923417174710919,3.76740178643715,0.000275338155554583,-0.000793619412517099,0.000275552730189643,-0.000656532871287308
54,2.08473060339975,0.797245770343239,2.08499530598188,0.797037340150372,-0.000264702582127629,0.000208430192866205,-0.000252018671579091,8.03537604736615e-05
55,-0.811094804352058,-0.80831156396176,-0.811256085660036,-0.808605033926113,0.000161281307978212,0.000293469964352533,0.000142295136570381,0.000389359259400868
