t,du2_LMI1,du2_LMI2,du2_Luen1,du2_Luen2,du2_UIO1,du2_UIO2,du2_DUIO1,du2_DUIO2
17,-0.00101054595773054,0.00296398002983489,-0.00448821308268421,0.0133971220945734,0.00189484579933197,-0.00555953619875904,0.033790137131045,-0.0989110510913682
18,-0.000785906935604985,0.00230677453334593,-0.00348453762089301,0.0101748851038667,0.00147738758395521,-0.00433470087985877,0.02632790661555,-0.0771299948163859
19,-0.00061504383625377,0.00180431267714076,-0.00271920512478974,0.00806693877490883,0.00115190063285131,-0.00337971209335874,0.0205227774810992,-0.0601407343277163
20,-0.000478014600935106,0.00140252775563998,-0.00211440548780795,0.00618093578829976,0.000898122524917278,-0.00263511927328863,0.0159962051919385,-0.0468946664147282
21,-0.000373113956598559,0.00109474156020628,-0.00164974552793407,0.00487501712027427,0.000700254906649711,-0.0020545695590326,0.0124713727378829,-0.0365643573513257
22,-0.00029098129581917,0.000853686954223942,-0.00128406720410479,0.0037571898292269,0.000545979998035628,-0.00160192220337618,0.00972058282865462,-0.0285063173226138
23,-0.000226734060172262,0.000665297749429583,-0.0010017216622451,0.00295265685007295,0.000425693778277836,-0.00124899871643513,0.00757226727217786,-0.0222280936767121
24,-0.000176922513665079,0.000519080945015959,-0.000780165104950048,0.00228447310375457,0.000331908117105928,-0.000973828685929323,0.00590700584984827,-0.0173320785149534
25,-0.000137854600280929,0.000404470224281778,-0.000608535195840976,0.00179080996526584,0.000258784610440904,-0.000759282053883523,0.00460865709836469,-0.0135136138913955
26,-0.000107507191974499,0.000315431046057579,-0.000474128487854664,0.00138912550887427,0.000201771126132844,-0.00059200272658777,0.00359325151577883,-0.0105366358335679
27,-8.38274492540592e-05,0.000245948540672669,-0.000369783130911738,0.00108707197859503,0.000157318424110375,-0.000461577125169255,0.00280223144963188,-0.0082182899478157
28,-6.53496363725026e-05,0.000191740978210064,-0.000288181912921459,0.000844682500610761,0.000122659208349418,-0.000359885914208879,0.0021902805049514,-0.00640933641496844
29,-5.09609771590647e-05,0.0001495201595208,-0.000224740310325711,0.000660236082839716,9.56358511721156e-05,-0.000280598548353106,0.00171100654265333,-0.00500001991267657
30,-3.97283807327398e-05,0.000116564299814215,-0.000175174474806639,0.000513604359246411,7.45660774148504e-05,-0.000218779180252149,0.00133778453288702,-0.00390076791955885
31,-3.09770622796135e-05,9.08878012806369e-05,-0.000136602235784461,0.000401130550319539,5.81382383056939e-05,-0.000170579392116732,0.00104649205706986,-0.00304554582909455
32,-2.41528347233455e-05,7.08649289123953e-05,-0.000106486119442861,0.000312280084087346,4.53296592972663e-05,-0.000132998621518499,0.000820553966118798,-0.00237395216397518
33,-1.88310229565225e-05,5.52509878290475e-05,-8.30348089215782e-05,0.000243760850380859,3.53429688533247e-05,-0.000103697362960065,0.000636034481668712,-0.00185223182876959
34,-1.46828479459238e-05,4.30798746902106e-05,-6.47328604539421e-05,0.000189863688033309,2.75564704033671e-05,-8.08515369272733e-05,0.000494769217923241,-0.0014444383786425
35,-1.14477254200551e-05,3.35879788209148e-05,-5.04751761587485e-05,0.000148149545270204,2.14854350994997e-05,-6.30389319913327e-05,0.00038423764278761,-0.00112521372634022
36,-8.92572303268224e-06,2.61883586096801e-05,-3.93515290508795e-05,0.000115431602072391,1.67519243010616e-05,-4.91506665680763e-05,0.000298392712134277,-0.000881064754951311
37,-6.95930403404876e-06,2.04187987872511e-05,-3.0683483715932e-05,9.00479345018659e-05,1.30612663687968e-05,-3.83221606550981e-05,0.000239539733699889,-0.00068723737051601
38,-5.42604020559168e-06,1.59201806859688e-05,-2.39221916660259e-05,7.01771944212615e-05,1.01837061576848e-05,-2.9879309603853e-05,0.000187756052173693,-0.000536655485239401
39,-4.23064861143629e-06,1.24128506067134e-05,-1.86524991137027e-05,5.47357335448639e-05,7.94010812699142e-06,-2.3296523925409e-05,0.000146585536054289,-0.00041980848514156
40,-3.29856588510147e-06,9.67809409577192e-06,-1.45425829323198e-05,4.26637105978567e-05,6.1908031725455e-06,-1.81640086988899e-05,0.000115837666838869,-0.000328806553797911
41,-2.57185465279974e-06,7.54590194251836e-06,-1.13389476674719e-05,3.32723466263118e-05,4.82689245262513e-06,-1.41622511831141e-05,9.17319314046594e-05,-0.000256085352971724
42,-2.00524501148269e-06,5.88344993590617e-06,-8.84061922806767e-06,2.59367114174847e-05,3.76346777364311e-06,-1.10421302681463e-05,6.95520493199653e-05,-0.000199384879800313
43,-1.56346174595701e-06,4.58724567886648e-06,-6.89303571677069e-06,2.02258054020632e-05,2.93432847264796e-06,-8.60941072167165e-06,5.27960567099917e-05,-0.000156567336608848
44,-1.21901352856391e-06,3.57662336936126e-06,-5.37432632952139e-06,1.57676378893523e-05,2.28785977340884e-06,-6.71265042750946e-06,4.21979589506627e-05,-0.000120516412727367
45,-9.50448582948127e-07,2.78864555980363e-06,-4.19034293663856e-06,1.22951733487753e-05,1.78381482829337e-06,-5.23376863847957e-06,3.0239237972296e-05,-9.45937026815002e-05
46,-7.41053147068627e-07,2.17427279286531e-06,-3.26712266729423e-06,9.5855078418583e-06,1.39081702132948e-06,-4.08070285240481e-06,2.55463048342008e-05,-7.6429407351114e-05
47,-5.77789949440799e-07,1.69525366244816e-06,-2.5473544800203e-06,7.47425120167788e-06,1.0844040893021e-06,-3.18167443552619e-06,2.46228219797917e-05,-5.74901371220848e-05
48,-4.5049546482101e-07,1.32176761147296e-06,-1.98612614291105e-06,5.82721901121186e-06,8.45496632845277e-07,-2.480712363917e-06,1.57008122423363e-05,-4.59777807800821e-05
