t,u1_r11,u1_r12,u1_p11,u1_p12
-5,3.13487686942171,-0.06097411372192,0,0
-4,0.386877881364338,-0.607390042250854,0,0
-3,0.863413668316573,0.963652712674623,0,0
-2,-1.26751755905942,0.530163734314952,0,0
-1,1.94417653726428,0.627402071413877,0,0
0,2.35160833976003,-0.717067704719762,2.61798471857521,-0.866264871111748
1,1.25889870121496,0.641508304115575,0.914679586861762,0.785254896547584
2,-1.2924363695857,-0.36640603486233,-1.29973386541141,-0.437821767463078
3,-7.06892748690435,-2.93737627492123,-7.32225506192803,-2.84367337198195
4,2.37335019922024,2.61915440612161,2.46602179018476,2.58673444082588
5,-0.729370918113384,-2.76881402463183,-0.804353755365314,-2.73670292057782
6,3.57966447327436,3.02292354730115,3.62038195921808,3.00453231385907
7,-2.13855774874852,-2.00667381926431,-2.15135304151204,-1.99342080943218
8,-0.115151540615645,1.31485173696622,-0.082299732548481,1.30351483091979
9,3.23546185846055,0.665861316713003,3.22881253138014,0.671045269346613
10,2.58175436280201,-1.11571612076554,2.59617699047338,-1.12079309273831
11,-0.492938037236782,1.50306608712238,-0.495902612412971,1.50531604455495
12,1.16479651064158,0.979562177905774,1.16941211430972,0.97733057745518
13,-1.7205901526973,-0.254452711801719,-1.7236432916667,-0.253176626203327
14,-1.49759509308119,0.0307562338436973,-1.49620025183525,0.0298846971714066
15,1.98693182636107,1.29540508479125,1.98504689205003,1.29606415753032
16,4.38688013637602,0.402953076754951,4.3872169618206,0.40261918324721
17,1.35332791977739,1.92845628428648,1.35245517252685,1.92878300415231
18,3.63670580992445,1.79197331623713,3.63693397071511,1.79181979063299
19,-3.93706460745778,0.195130605812269,-3.9373931052229,0.195273186037451
20,-2.97369919770634,1.16560230512728,-2.97352211964196,1.16552449753333
21,0.248424390640836,-0.135696858189105,0.248332946211868,-0.135640462230997
22,1.29473296516821,-0.294743129786479,1.29484439925362,-0.294784564991412
23,1.33737467419267,0.17782557266346,1.3373467861545,0.177848135775569
24,3.149818073158,0.0232522048700216,3.14987344252655,0.0232317687418955
25,-0.137348470031092,0.946777363292312,-0.137363024716593,0.946787209593575
26,3.2781867247278,1.68954558493008,3.27820769577044,1.6895365360134
27,-0.153329773753966,-1.05110746130595,-0.153340321301324,-1.05110251551401
28,-1.13474991882125,-0.841616411296698,-1.13474334578344,-0.84162011469362
29,-2.56861163672438,-0.197884773600898,-2.56861840259694,-0.197882191110606
30,-3.40528486057704,-1.11778145737474,-3.40528283770274,-1.1177829376816
31,-0.503302041018382,1.73308793678747,-0.503305434836785,1.73308921333067
32,-2.6286096745988,-2.00237960800422,-2.62860872172309,-2.00238025090905
33,0.232622434714049,0.939633698512853,0.232621070414437,0.939634275573556
34,3.21348029847454,-0.0791069285840096,3.21348094391133,-0.0791072426211826
35,-2.04280881179753,-0.102423237574835,-2.04280926355512,-0.102422997657247
36,-0.346909116553229,1.72914369778125,-0.346908710260436,1.72914353641521
37,1.46850398830016,1.20135547939108,1.46850384407867,1.20135557672129
38,0.97149234712181,1.17593767369081,0.971492556777838,1.17593759364621
39,-0.15008291397327,0.680226685360859,-0.150082977609707,0.680226727249249
40,-5.34973074523546,-2.55706648672697,-5.34973065770381,-2.55706652333591
41,2.94911027435678,3.15206586523238,2.94911023474461,3.15206588523959
42,-1.55495187188915,-0.882092895013924,-1.55495184133681,-0.882092910526411
43,-2.83299314067882,-0.395780907465158,-2.83299316529731,-0.395780897333418
44,1.41540999799104,3.06353731593701,1.41541000812714,3.06353730956842
45,-0.481775402610541,-1.07018398933351,-0.481775415521771,-1.07018398431553
46,-1.0404957442722,2.03123511134299,-1.04049574002197,2.03123510861529
47,0.918602837647219,1.65080961688617,0.918602832066964,1.65080961920705
48,-5.35718893968104,-3.07573202889811,-5.35718893721573,-3.07573203017766
49,0.0682728592176407,2.04393595346839,0.0682728571769228,2.04393595446759
