t,du1_LMI1,du1_LMI2,du1_Luen1,du1_Luen2,du1_UIO1,du1_UIO2,du1_DUIO1,du1_DUIO2
0,-0.266376378815186,0.149197166391986,3.52112239107366,0.745938132447451,3.98837645594099,-0.66483141336325,3.93850369997879,-0.16105233062593
1,0.344219114353193,-0.143746592432009,8.3854654919859,-1.15206207562281,2.25391923776531,0.00182167495222707,4.2463256457877,-0.402069301009709
2,0.0072974958257106,0.0714157326007483,5.24986699987609,-0.570696089462057,2.72357756498151,-0.545442544956262,3.55276074674692,-0.493213277479673
3,0.25332757502368,-0.093702902939286,4.30672089453504,-0.781218703399533,1.10277382945497,-0.0913552283113099,2.30296955941502,-0.364561978426508
4,-0.0926715909645197,0.03241996529573,1.96695609506777,-0.327137361226324,0.933013114740186,-0.252928066771784,1.28694792929505,-0.2581371760556
5,0.0749828372519303,-0.032111104054005,0.975382316286475,-0.298632353531013,0.0972932600246461,-0.00621960848065717,0.487639815506089,-0.126865763498978
6,-0.0407174859437247,0.0183912334420744,-0.0514486149206683,-0.0372387091026187,0.0720929611318568,-0.0706264288634095,0.0543731331900905,-0.0552356522951309
7,0.0127952927635202,-0.0132530098321288,-0.242205227182809,-0.0312742635578769,-0.203063217019107,0.0354249996804112,-0.17144772506398,-0.000104009496113111
8,-0.0328518080671643,0.0113369060464339,-0.433347081563483,0.0545509725291864,-0.109966797187162,-0.00570931803111963,-0.216075749603496,0.0171578599122391
9,0.0066493270804111,-0.00518395263361016,-0.309523375309201,0.0302152310407533,-0.155798488451956,0.0312271824877731,-0.195157207219931,0.025519072070236
10,-0.0144226276713737,0.00507697197277124,-0.251787653517973,0.0451190199223548,-0.0634633388386656,0.00392076773229766,-0.132912908816718,0.0198376315273112
11,0.00296457517618909,-0.00224995743256962,-0.121171202133838,0.0191783865096808,-0.059219830809877,0.0154528764496458,-0.0790793154178883,0.0149764816134001
12,-0.00461560366813218,0.00223160045059401,-0.0661458899270824,0.0179534932881569,-0.00881651296049646,0.000383713625778159,-0.0341531024586468,0.00794988085395876
13,0.00305313896940018,-0.00127608559839154,-0.00565117071092192,0.0033681602062936,-0.00792415448313255,0.00481131937468482,-0.00789635877607808,0.00377424957717726
14,-0.00139484124593459,0.000871536672290719,0.00846077295474013,0.00273656888219013,0.0101219031980091,-0.00189909351431284,0.00667508048599785,0.000521240440418808
15,0.00188493431103987,-0.00065907273907273,0.0220053313947588,-0.0026040509498928,0.00504399593549598,0.000674170463063284,0.0107805076346539,-0.000673675224382109
16,-0.000336825444579247,0.000333893507740712,0.0165754568963186,-0.0013763513340791,0.00882257312685475,-0.00178354024514071,0.0108610860448994,-0.00137397843769632
17,0.000872747250536987,-0.000326719865830327,0.0144999463183701,-0.00251327938684232,0.00356162501238866,-0.000130835435317334,0.00826281464245082,-0.00124359209015656
18,-0.000228160790656684,0.000153525604139615,0.00735936913347945,-0.00107861460656267,0.00368862320082819,-0.000936720093496213,0.00487574615574093,-0.000822336885131891
19,0.000328497765126112,-0.000142580225182654,0.00439169292067065,-0.00110085093011089,0.000665376753213653,-1.5900047818318e-05,0.00265726219628748,-0.000609032911960794
20,-0.000177078064384162,7.78075939500411e-05,0.000770793722308039,-0.000241156086776106,0.000671840992860329,-0.000319541996038009,0.000109722426250514,-3.91031698698807e-05
21,9.14444289679961e-05,-5.63959581081908e-05,-0.000141309534131662,-0.000217926484475078,-0.000492267570911281,0.000103043386782631,-0.00034563346342123,-9.44043814344597e-05
22,-0.000111434085414031,4.14352049327715e-05,-0.00109370611603876,0.000121459410631963,-0.00020869485970465,-5.98989102404968e-05,-0.000537971419186434,1.4101551610024e-05
23,2.78880381663349e-05,-2.25631121084924e-05,-0.000864022723860769,5.50698941255423e-05,-0.000494886868018574,0.00010178729381019,-0.000301402535500594,-1.04257850131739e-05
24,-5.53693685412249e-05,2.04361281260883e-05,-0.000825732658218836,0.000139452565280872,-0.000194517131038463,1.05031627187224e-06,-0.000130667820998465,4.4332265755273e-07
