t,u1_r11,u1_r12,u1_p11,u1_p12
-5,-0.760606835653891,-0.403905760464485,-1,-1
-4,0.190800130247069,0.72311243694251,-1,-1
-3,-2.31574942243325,0.337109923045472,-1,-1
-2,-2.72524783060724,0.478555442466247,-1,-1
-1,-4.56023916570046,-3.94638239565867,-1,-1
0,-0.44533817256159,-0.615945798095294,-0.583260093279333,-0.711049925742148
1,-1.49232811078904,-1.2912735651693,-1.42235122080125,-1.55713572970758
2,0.506613731167614,-0.333023107381906,0.475573984798001,-0.207650624715306
3,5.58628532115525,3.18513049988091,5.59419350397503,3.1831788355807
4,-1.53963593732594,-0.345721279487044,-1.54164560701679,-0.380874267348423
5,-3.96315748347969,0.664868495967659,-3.96329768563488,0.665974304026873
6,-0.715585791423981,-0.548960617516233,-0.715792654927137,-0.544826048197951
7,0.167280837858162,-0.0609651156855125,0.167458442203171,-0.0622312852735174
8,-2.94182045124145,-1.90510765692054,-2.94182871449705,-1.90563194596447
9,-3.09827750746983,0.477621217386079,-3.09828892054493,0.47791156134743
10,-4.16896652247957,-0.734327368629955,-4.16896326741154,-0.734290313473775
11,-2.70394800356987,-0.444246321591442,-2.70394536996427,-0.444299855906375
12,-6.18514465415062,-3.54430893961891,-6.18514570945946,-3.54430575612561
13,-0.246150010571282,2.16581172478458,-0.246150194015566,2.16581993145546
14,1.34100359028989,0.729990618737793,1.3410037781204,0.729988675608439
15,2.1735160446011,-0.433507379629214,2.17351604585447,-0.433508400606501
16,0.333449723434328,2.07560704482338,0.333449690954016,2.07560753506515
17,-6.00665124273839,-2.16980937157903,-6.00665123706581,-2.16980928896932
18,-2.43700980186641,1.53543724705008,-2.43700979759433,1.53543715244205
19,-0.370782561783006,-0.00439089711429236,-0.370782563404301,-0.004390894490498
20,-1.75276853690636,-0.508445110621654,-1.75276853733221,-0.508445095572214
21,-2.80590495313415,-0.547930905586768,-2.80590495279224,-0.547930908591024
22,1.46889095842648,-0.194985489016739,1.46889095843743,-0.194985490968131
23,1.25108102769584,0.639869075956287,1.25108102763817,0.639869076782315
24,-0.301062082924642,-1.92831385060094,-0.301062082916616,-1.92831385042258
25,0.405060409153823,2.73227688253006,0.405060409161915,2.7322768823642
26,1.51599299393335,0.600090094197011,1.51599299393065,0.600090094196158
27,-5.2282871911222,-2.81419901840909,-5.22828719112306,-2.81419901838176
28,1.56823486806616,0.203735082505809,1.56823486806676,0.203735082501277
29,-0.799124743632818,-0.485226560752881,-0.799124743632777,-0.48522656075658
30,-0.15921283936551,-0.438345748048681,-0.159212839365618,-0.438345748047305
31,2.94436886039101,3.72224728660191,2.94436886039102,3.72224728660228
32,-2.43369082927117,-1.53072507414902,-2.43369082927116,-1.5307250741493
33,-1.42415748541136,-1.60707780672288,-1.42415748541136,-1.60707780672289
34,-0.839992045286404,-0.923159320366731,-0.8399920452864,-0.923159320366683
35,-1.99939091353958,-3.00660440590015,-1.99939091353958,-3.00660440590015
36,-0.519425401189019,0.260527538730145,-0.51942540118902,0.26052753873014
37,-2.90650176405038,-1.67938582991238,-2.90650176405039,-1.67938582991238
38,-3.33548657324426,0.0499176227898054,-3.33548657324426,0.0499176227898146
39,-1.50121250979657,-1.36369038950433,-1.50121250979657,-1.36369038950432
40,2.71864927320935,0.0678674985160199,2.71864927320935,0.0678674985160216
41,-1.24699314738346,0.239876369756925,-1.24699314738346,0.239876369756923
42,0.75647410672699,-0.23224053256322,0.75647410672699,-0.232240532563222
43,-1.94374671573723,-1.31961381997983,-1.94374671573723,-1.31961381997983
44,-1.6806790523624,0.555138563809299,-1.6806790523624,0.555138563809303
45,-2.63894492035865,-3.79193795207251,-2.63894492035865,-3.79193795207251
46,0.170561742258933,1.4054820029084,0.170561742258937,1.40548200290841
47,-3.33341907962903,-1.41904303790111,-3.33341907962903,-1.41904303790111
48,1.75559709821983,-0.346884508246247,1.75559709821983,-0.346884508246242
49,0.105522948561187,0.687716056000228,0.105522948561187,0.687716056000225
