t,u,u_Luen,u_LR,u_GR,u_UIO,u_DUIO
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,0,0,0,0,0,0
22,0,0,0,0,0,0
23,0,0,0,0,0,0
24,0,0,0,0,0,0
25,0,0,0,0,0,0
26,0,0,0,0,0,0
27,0,0,0,0,0,0
28,0,0,0,0,0,0
29,0,0,0,0,0,0
30,0,0,0,0,0,0
31,0,0,0,0,0,0
32,0,0,0,0,0,0
33,30,2.9081744105188,4.20180274093965,0.952668910309569,29.7389241862893,4.09939979454466
34,33,11.2655807519983,11.3700449235433,25.6040257559592,70.5114135308411,12.9666109579469
35,33,15.8453501170287,23.6586936517771,16.7099263465841,44.0854091261324,20.5471817910535
36,33,20.2732926244324,23.3918457151066,22.8208971878973,46.1230397598581,28.078986225435
37,33,20.8460991327552,27.3240148324403,30.3599394819595,29.6327577532991,26.7507834061465
38,33,23.6920778655035,22.9149673590897,26.3354446769359,42.4767904134153,26.3147988539482
39,34,22.9667098574713,25.3765539468477,28.876981746954,25.8715861108682,21.1424709608526
40,34,21.1422648168648,20.2647780462182,24.5243076113893,33.4222469900001,20.029285160661
41,34,20.0286262439317,19.7743903834282,23.7820398779895,37.0477906058417,17.355309346827
42,28,27.760151356221,20.1924088405718,23.862513807128,24.1817153295805,16.1224667024613
43,29,30.5261207221643,21.4563708858422,24.8523269428561,24.4654601849087,15.5730725940658
44,30,32.5592750730306,21.0483512818252,24.8407918620409,29.4003518962336,14.1597860087252
45,30,26.12029801203,21.8897873109484,28.7540781096221,12.9039636030513,11.8303834233834
46,29,26.8395532463953,18.8333483657311,29.0319731543202,0.346722562010303,8.77316499575815
47,29,25.7843634747539,15.4400960537513,24.995879834795,16.5433452049326,6.74291415273797
48,17,25.740939560808,15.224824924926,22.2970299315792,25.2618274311082,6.62262952553771
49,9,21.545159478553,15.3488406812513,23.159156309744,11.1804551062674,7.55072409932036
50,2,20.9584745746772,13.3794454893374,16.6986458149767,7.91803963899273,8.32174207527876
51,1,18.2295194571646,10.7124207524633,15.0091453138017,7.91692494211678,7.33729307321656
52,0,17.4381026858733,10.5692539926369,22.8245550492009,2.28423402584015,5.25808040272797
53,7,16.0224812230578,7.00374792519319,10.0332608452717,21.5875605709488,6.52532822831801
54,13,19.9202078958091,11.8285782983974,7.79625683533313,38.1596704722019,9.52242459836694
55,15,21.3945702370062,16.6450705219899,20.5127150601132,20.5188482103888,13.1326657017672
56,15,21.0647610126695,16.5595793745242,19.4469440841214,13.3922661530914,15.4726191974786
57,15,22.0444354724692,16.1217585549212,20.5318882749331,35.6794704557464,17.5455594261303
58,16,23.8475638981727,21.3964656096434,28.5905464469233,24.3254427570367,17.2489848232634
59,16,22.0492107571751,19.7589951676642,22.2521024230527,9.35688573401729,16.6446130441182
60,17,22.9760603796387,14.9999254144077,15.7830715462117,44.5150862051532,18.0116311551901
61,17,20.1524705084019,18.7902520847006,27.6870591566421,17.4071300523212,12.9465917258153
62,17,19.0018713695953,10.3323793274319,3.29597616386983,5.9551382616383,12.6174859159553
63,17,18.6107980242232,12.992426015403,17.6258462558152,23.9672843291009,9.08785591105569
64,18,19.1776173748583,12.8471016198386,19.5657235936697,17.3235881512379,9.85803700586753
65,17,18.4993041210685,14.1842135858029,18.9089766127133,10.7149510087212,9.39251649423913
66,6,15.8487646523807,12.1608608998504,14.1663464064779,3.14122752952196,9.55421989728114
67,6,13.8699444172236,11.1049668777954,22.2810167692172,0.66883204198379,7.61990940610907
68,6,8.88724565755704,9.69807201967262,29.0519646863194,-12.1204022957523,1.49370690079116
69,6,8.17675271632819,0.387358744749357,5.59440950438105,19.1348832616142,2.61530974861332
70,6,8.04085136183112,8.17925668863261,8.14639304084796,16.1428695161859,1.70014262395921
71,5,8.59399020186869,8.00854984719346,9.91849786731225,7.25820466943921,5.82699521827288
72,5,8.21303455818651,9.94159263899632,9.92544653248729,3.15905645382228,8.13197684944718
73,5,8.95304754801969,9.24429428835784,9.96312710064341,0.90799550767488,7.60920858618726
74,0,7.11070822187328,9.61197925048406,10.5440339470644,-1.22477442640809,5.02629715520459
75,0,6.05099942876024,7.82817724395393,4.59124668407955,-1.30338983662029,3.70701162455996
76,0,5.66455250699397,7.08851389604493,1.13568136107623,-1.294303986208,2.46343130018393
77,0,0,0,0,0,0
78,0,0,0,0,0,0
79,0,0,0,0,0,0
80,0,0,0,0,0,0
81,0,0,0,0,0,0
